battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,,,kits,BRL,Neosolar,NEO-22992,,,,,1,"Kit Gerador Energia Solar 1,74 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel OSDA- MiniTrilho",,,0,74,74.0,1740,0,,,draft,Solar Kit|Neosolar,0,1,77,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22925,,,,,1,"Kit Gerador Energia Solar 0,55 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel ReneSola | Mini Trilho",,,0,55,55.0,555,0,,,draft,Solar Kit|Neosolar,0,1,56,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22989,,,,,1,"Kit Gerador Energia Solar 1,16 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel OSDA- Solo",,,0,16,16.0,1160,0,,,draft,Solar Kit|Neosolar,0,1,18,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22990,,,,,1,"Kit Gerador Energia Solar 1,16 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel OSDA",,,0,16,16.0,1160,0,,,draft,Solar Kit|Neosolar,0,1,18,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-23101,,,,,1,"Kit Gerador Energia Solar 2,34 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel OSDA | Para metalica",,,0,34,34.0,2340,0,,,draft,Solar Kit|Neosolar,0,1,38,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-23099,,,,,1,"Kit Gerador Energia Solar 2,34 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel OSDA | Mini trilho",,,0,34,34.0,2340,0,,,draft,Solar Kit|Neosolar,0,1,38,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22927,,,,,1,"Kit Gerador Energia Solar 0,55 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel ReneSola | Estrtura de metal",,,0,55,55.0,555,0,,,draft,Solar Kit|Neosolar,0,1,56,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22936,,,,,1,"Kit Gerador Energia Solar 1,11 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel ReneSola | Estrutura para Solo",,,0,11,11.0,1110,0,,,draft,Solar Kit|Neosolar,0,1,13,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22932,,,,,1,"Kit Gerador Energia Solar 1,11 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel ReneSola | Mini Trilho",,,0,11,11.0,1110,0,,,draft,Solar Kit|Neosolar,0,1,13,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22867,,,,,1,"Kit Gerador Energia Solar 1,74 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel OSDA - Cerâmica",,,0,74,74.0,1740,0,,,draft,Solar Kit|Neosolar,0,1,77,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22929,,,,,1,"Kit Gerador Energia Solar 0,55 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel ReneSola | Solo e P.M8",,,0,55,55.0,555,0,,,draft,Solar Kit|Neosolar,0,1,56,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22930,,,,,1,"Kit Gerador Energia Solar 0,55 kWp - Microinversor Deye c/ Wifi SUN2250 - Painel ReneSola | Sem estrutura",,,0,55,55.0,555,0,,,draft,Solar Kit|Neosolar,0,1,56,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22439,,,,,1,"Kit Gerador Energia Solar 2,38 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen (Mini Trilho)",,,0,38,38.0,2380,0,,,draft,Solar Kit|Neosolar,0,1,42,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22324,,,,,20,"Kit Gerador Energia Solar 2,20 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Cerâmica)",,,,,20.0,0,0,,,draft,Solar Kit|Neosolar,0,20,0,0,Solar Kit Grid-Tie
