battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,1,48,kits,BRL,Neosolar,NEO-24901,,,,,1,"Kit Energia Solar On Grid Híbrido - 5,49kWp 4,8kWh Lítio 48V (24901)",,,610,9,49.0,5490,0,,,draft,Solar Kit|Neosolar,1,1,9,0,Solar Kit Hybrid
,,4,48,kits,BRL,Neosolar,NEO-24933,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24933)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,4,1,16,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24892,,,,,1,"Kit Energia Solar On Grid Híbrido - 3,66kWp 4,8kWh Lítio 48V (24892)",,,610,6,66.0,3660,0,,,draft,Solar Kit|Neosolar,1,1,6,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24925,,,,,1,"Kit Energia Solar On Grid Híbrido - 5,49kWp 4,8kWh Lítio 48V (24925)",,,610,9,49.0,5490,0,,,draft,Solar Kit|Neosolar,1,1,9,0,Solar Kit Hybrid
,,6,48,kits,BRL,Neosolar,NEO-24938,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24938)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,6,1,16,0,Solar Kit Hybrid
,,3,48,kits,BRL,Neosolar,NEO-24922,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24922)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,3,1,10,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24917,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24917)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,1,1,10,0,Solar Kit Hybrid
,,5,48,kits,BRL,Neosolar,NEO-24912,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24912)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,5,1,16,0,Solar Kit Hybrid
,,5,48,kits,BRL,Neosolar,NEO-24911,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24911)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,5,1,16,0,Solar Kit Hybrid
,,3,48,kits,BRL,Neosolar,NEO-24907,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24907)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,3,1,16,0,Solar Kit Hybrid
,,2,48,kits,BRL,Neosolar,NEO-24896,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24896)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,2,1,10,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24894,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24894)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,1,1,10,0,Solar Kit Hybrid
,,3,48,kits,BRL,Neosolar,NEO-24897,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24897)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,3,1,10,0,Solar Kit Hybrid
,,2,48,kits,BRL,Neosolar,NEO-24895,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24895)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,2,1,10,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24893,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24893)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,1,1,10,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24904,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24904)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,1,1,16,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24891,,,,,1,"Kit Energia Solar On Grid Híbrido - 3,66kWp 4,8kWh Lítio 48V (24891)",,,610,6,66.0,3660,0,,,draft,Solar Kit|Neosolar,1,1,6,0,Solar Kit Hybrid
,,6,48,kits,BRL,Neosolar,NEO-26806,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,92kWp 4,8kWh Lítio 48V (26806)",,,620,16,92.0,9920,0,,,draft,Solar Kit|Neosolar,6,1,16,0,Solar Kit Hybrid
,,5,48,kits,BRL,Neosolar,NEO-26805,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,92kWp 4,8kWh Lítio 48V (26805)",,,620,16,92.0,9920,0,,,draft,Solar Kit|Neosolar,5,1,16,0,Solar Kit Hybrid
,,2,48,kits,BRL,Neosolar,NEO-26802,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,92kWp 4,8kWh Lítio 48V (26802)",,,620,16,92.0,9920,32461.36,,,draft,Solar Kit|Neosolar,2,1,16,0,Solar Kit Hybrid
