distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_inverters_IIN00338,SOLIS ON-GRID 15KW - 220V - 3 MPPT - AFCI (S5-GC15K-LV),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 15KW - 220V - 3 MPPT - AFCI (S5-GC15K-LV),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00337,SOLIS ON-GRID 50KW - 220V - 6 MPPT - AFCI (S6-GC50K-LV),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 50KW - 220V - 6 MPPT - AFCI (S6-GC50K-LV),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00336,SOLIS ON-GRID 60KW - 220V - 8 MPPT - AFCI (S6-GC60K-LV),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 60KW - 220V - 8 MPPT - AFCI (S6-GC60K-LV),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00335,SOLIS ON-GRID 75KW - 220V - 8 MPPT - AFCI (S6-GC75K-LV),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 75KW - 220V - 8 MPPT - AFCI (S6-GC75K-LV),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00296,SOLIS ON-GRID 37.5KW - 220V - 4 MPPT - AFCI (S5-GC37.5K-LV),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 37.5KW - 220V - 4 MPPT - AFCI (S5-GC37.5K-LV),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00290,SOLIS ON-GRID 30KW - 380V - 3 MPPT - AFCI (S5-GC30K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 30KW - 380V - 3 MPPT - AFCI (S5-GC30K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00232,GROWATT ON-GRID 75KW - 220V - 8 MPPT - AFCI (MAX75KTL3-XL2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 75KW - 220V - 8 MPPT - AFCI (MAX75KTL3-XL2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00316,HUAWEI ON-GRID 100KW - 380V - 10 MPPT - AFCI (SUN2000-100KTL-M2),Huawei,,,inverters,,,,,,,,,BRL,HUAWEI ON-GRID 100KW - 380V - 10 MPPT - AFCI (SUN2000-100KTL-M2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00267,SUNGROW ON-GRID 15KW - 380V - 2 MPPT - AFCI (SG15RT-P2),Sungrow,,,inverters,,,,,,,,,BRL,SUNGROW ON-GRID 15KW - 380V - 2 MPPT - AFCI (SG15RT-P2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00319,FOXESS ON-GRID 7.5KW - 220V - 3 MPPT - AFCI (G7.5),Foxess,,,inverters,,,,,,,,,BRL,FOXESS ON-GRID 7.5KW - 220V - 3 MPPT - AFCI (G7.5),,,,,,,,,,,
