battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,distributor,id,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,total_batteries,total_inverters,total_panels,type
,,,,kits,Fortlev,fortlev_kit_079,,,1,Kit 7.32kWp - Panel + Inverter,,,,7.32,7320.0,8653.6,1.18,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_080,Enphase,,1,Kit 3.18kWp - BYD + Enphase,BYD,530,6,3.18,3180.0,8660.46,2.72,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_081,,,1,Kit 4.03kWp - Panel + Inverter,,,,4.03,4030.0000000000005,8671.6,2.15,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_082,,,1,Kit 6.93kWp - Longi + Inverter,Longi,630,11,6.93,6930.0,8707.04,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_083,Sungrow,,1,Kit 5.6kWp - Risen + Sungrow,Risen,700,8,5.6,5600.0,8720.34,1.56,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_084,,,1,Kit 6.93kWp - Longi + Inverter,Longi,630,11,6.93,6930.0,8772.94,1.27,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_085,Sungrow,,1,Kit 7.02kWp - Longi + Sungrow,Longi,585,12,7.02,7020.0,8821.14,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_086,Sungrow,,1,Kit 7.32kWp - Panel + Sungrow,,,,7.32,7320.0,8823.93,1.21,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_087,,,1,Kit 7.02kWp - Longi + Inverter,Longi,585,12,7.02,7020.0,8828.45,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_088,,,1,Kit 7.32kWp - Panel + Inverter,,,,7.32,7320.0,8831.25,1.21,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_089,,,1,Kit 7.02kWp - Longi + Inverter,Longi,585,12,7.02,7020.0,8832.1,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_090,,,1,Kit 7.32kWp - Panel + Inverter,,,,7.32,7320.0,8834.9,1.21,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_091,,,1,Kit 3.45kWp - Panel + Inverter,,,,3.45,3450.0,8942.84,2.59,0,1,1,Solar Kit
