avg_price,distributors_count,id_Fortlev,id_Fotus,id_Neosolar,inverter_manufacturer,max_price,min_price,panel_manufacturer,panel_power_w,price_Fortlev,price_Fotus,price_Neosolar,price_diff,price_diff_pct,system_kwp
9066.44,4,fortlev_kit_111,,,,10689.28,8287.72,,,10689.28,,,2401.5600000000013,28.97733031521337,4.03
2994.0457142857144,21,,,NEO-26933,,3352.9,2614.3,,0,,,3256.61,738.5999999999999,28.252304632215118,1.86
6567.32,16,,,NEO-25051,,7048.45,5605.06,,610,,,5605.06,1443.3899999999994,25.751553060984172,0.61
16787.21117647059,17,,,NEO-27051,,18134.07,14646.57,,620,,,14646.57,3487.5,23.81103562130929,4.0
7961.33,4,fortlev_kit_091,,,,8942.84,7482.53,,,8942.84,,,1460.3100000000004,19.516259874668066,3.45
2173.1525,13,,,NEO-23699,,2365.8,1980.97,,160,,,0,384.83000000000015,19.426341640711374,25.6
23658.967777777776,9,,,NEO-26788,,25889.32,21716.02,,620,,,21716.02,4173.299999999999,19.217609856686444,58.0
9660.441428571428,14,,,NEO-27145,,10554.57,8880.57,,620,,,10554.57,1674.0,18.85014137606032,20.0
2636.065,13,,,NEO-25132,,2858.35,2414.24,,320,,,2470.79,444.1100000000001,18.39543707336471,102.4
6102.280000000001,5,,,NEO-23935,,6603.59,5600.97,,160,,,0,1002.6199999999999,17.900827892311508,0.96
3079.010666666667,15,,,NEO-26938,,3247.51,2779.92,,0,,,3246.12,467.59000000000015,16.820268209157103,2.48
30541.676666666666,42,,,NEO-26653,,32461.36,28057.03,,620,,,0,4404.330000000002,15.697776992076504,92.0
22385.78375,8,,,NEO-26831,,24077.62,21215.08,,565,,,24077.62,2862.5399999999972,13.492949354892827,5.08
5263.8,10,,,NEO-27113,,5504.67,4862.97,,565,,,5225.67,641.6999999999998,13.195639701663794,39.0
2886.6525,16,,,NEO-27146,,3053.39,2698.14,,0,,,3053.39,355.25,13.16647764756462,1.4
36702.3,30,,,NEO-26844,,38904.47,34500.13,,565,,,0,4404.340000000004,12.76615479419934,13.56
7905.103333333334,18,,,NEO-27139,,8406.27,7476.27,,620,,,8220.27,930.0,12.439358129120537,96.0
11183.869999999999,15,,,NEO-27012,,11828.67,10526.67,,565,,,11828.67,1302.0,12.368583797155226,9.0
17011.095,16,,,NEO-27032,,17743.47,15790.47,,565,,,15790.47,1953.0000000000018,12.368219565345438,86.0
8692.245,12,,,NEO-27090,,9075.87,8099.37,,565,,,8099.37,976.5000000000009,12.056493282810896,65.0
3243.244782608696,23,,,NEO-27164,,3408.54,3047.53,,0,,,3249.93,361.00999999999976,11.845986749925341,2.8
12003.303333333333,18,,,NEO-27021,,12581.97,11279.97,,565,,,12023.97,1302.0,11.542583889850771,4.0
9562.57,9,,,NEO-27004,,9996.57,9020.07,,565,,,9996.57,976.5,10.825858335910919,7.0
13098.12,16,,,NEO-27028,,13679.37,12377.37,,565,,,13121.37,1302.0,10.519197535502292,3.0
6862.469999999999,10,,,NEO-27121,,7132.17,6481.17,,565,,,7039.17,651.0,10.044482709140478,52.0
13730.52,8,,,NEO-27063,,14274.57,13158.57,,620,,,13158.57,1116.0,8.481164746625202,3.0
10656.87,9,,,NEO-27077,,11010.27,10173.27,,620,,,10731.27,837.0,8.227443093518602,44.0
5696.71,3,fortlev_kit_033,,,,5842.82,5458.93,,,5842.82,,,383.8899999999994,7.032330511657035,4.27
2418.2799999999997,8,,,NEO-27167,,2494.04,2342.52,,0,,,2494.04,151.51999999999998,6.4682478698154116,700.0
7137.776666666668,3,fortlev_kit_055,,,,7380.85,6935.24,BYD,530,7380.85,,,445.6100000000006,6.42530035009604,3.71
5208.086666666666,3,fortlev_kit_017,,,,5364.9,5056.46,Longi,585,5364.9,,,308.4399999999996,6.099919706672249,3.51
5209.486666666667,3,fortlev_kit_018,,,,5366.3,5057.86,,,5366.3,,,308.4400000000005,6.098231267769384,3.66
