sku,category,manufacturer,power_w,capacity_kwh,price_brl,list_price_brl,cost_price_brl,supplier,source,confidence,image_url
"FOTUSKP04570KWPMINITRILHOKITS","kits","",570000,,2567500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-570kWp-MiniTrilho-kits.jpg"
"FOTUSKP02568KWPCERAMICOKITS","kits","",568000,,2558500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-568kWp-Ceramico-kits.jpg"
"FOTUSKP02568KWPFIBROCIMENTOKITS","kits","",568000,,2558500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-568kWp-Fibrocimento-kits.jpg"
"FOTUSKP02568KWPMINITRILHOKITS","kits","",568000,,2558500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-568kWp-MiniTrilho-kits.jpg"
"FOTUSKP03568KWPCERAMICOKITS","kits","",568000,,2558500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-Ceramico-kits.jpg"
"FOTUSKP03568KWPFIBROCIMENTOKITS","kits","",568000,,2558500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-Fibrocimento-kits.jpg"
"FOTUSKP03568KWPMINITRILHOKITS","kits","",568000,,2558500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-MiniTrilho-kits.jpg"
"FOTUSKP04513KWPCERAMICOKITS","kits","",513000,,2311000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-513kWp-Ceramico-kits.jpg"
"FOTUSKP04513KWPFIBROCIMENTOKITS","kits","",513000,,2311000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-513kWp-Fibrocimento-kits.jpg"
"FOTUSKP04513KWPMINITRILHOKITS","kits","",513000,,2311000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-513kWp-MiniTrilho-kits.jpg"
"FOTUSKP02480KWPCERAMICOKITS","kits","",480000,,2162500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-480kWp-Ceramico-kits.jpg"
"FOTUSKP02480KWPFIBROCIMENTOKITS","kits","",480000,,2162500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-480kWp-Fibrocimento-kits.jpg"
"FOTUSKP02480KWPMINITRILHOKITS","kits","",480000,,2162500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-480kWp-MiniTrilho-kits.jpg"
"FOTUSKP04480KWPFIBROCIMENTOKITS","kits","",480000,,2162500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-480kWp-Fibrocimento-kits.jpg"
