sku,has_images,image_count,primary_url,all_urls,categories,total_size_bytes,formats
"IIN00340",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00340.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00340.png","FORTLEV",49502,"png"
"IIN00341",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00341.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00341.png","FORTLEV",49759,"png"
"IIN00342201",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00342%20(1).png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00342%20(1).png","FORTLEV",52186,"png"
"IIN00343",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00343.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00343.png","FORTLEV",46100,"png"
"IIN00344",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00344.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00344.png","FORTLEV",47950,"png"
"IIN00345",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00345.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00345.png","FORTLEV",48001,"png"
"IIN00347",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00347.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00347.png","FORTLEV",52696,"png"
"IIN00348",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00348.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00348.png","FORTLEV",107869,"png"
"IIN00349",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00349.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00349.png","FORTLEV",45933,"png"
"IIN00350",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00350.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00350.png","FORTLEV",49365,"png"
"IIN00352",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00352.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00352.png","FORTLEV",66235,"png"
"IIN00357",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00357.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00357.png","FORTLEV",54880,"png"
"IIN00358",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00358.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00358.png","FORTLEV",54906,"png"
"IIN00364",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00364.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00364.png","FORTLEV",46565,"png"
"IIN00365",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00365.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00365.png","FORTLEV",46487,"png"
"IIN00366",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00366.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00366.png","FORTLEV",46605,"png"
"IIN00367",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00367.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00367.png","FORTLEV",41865,"png"
"IIN00368",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00368.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00368.png","FORTLEV",41925,"png"
