sku,primary_image,all_images,source,score,price_brl,gross_margin_percent,weight_kg,candidate_urls
"NEOSOLARCONTROLLERS21564","https://cdn.yellosolarhub.com/products/controladores/NEOSOLAR_CONTROLLERS_21564.jpg","https://cdn.yellosolarhub.com/products/controladores/NEOSOLAR_CONTROLLERS_21564.jpg|NEOSOLAR_CONTROLLERS_21564.jpg","imgs-index",100,11378.95,20,0,"https://cdn.yellosolarhub.com/products/controladores/NEOSOLAR_CONTROLLERS_21564.jpg|[object Object]"
"NEOSOLARCONTROLLERS24349","https://cdn.yellosolarhub.com/products/controladores/NEOSOLAR_CONTROLLERS_24349.jpg","https://cdn.yellosolarhub.com/products/controladores/NEOSOLAR_CONTROLLERS_24349.jpg|NEOSOLAR_CONTROLLERS_24349.jpg","imgs-index",100,11377.95,20,0,"https://cdn.yellosolarhub.com/products/controladores/NEOSOLAR_CONTROLLERS_24349.jpg|[object Object]"
"NEOSOLARKITS27314","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_27314.jpg","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_27314.jpg|neosolar_kits_27314.jpg","imgs-index",100,11369.99,20,0,"https://cdn.yellosolarhub.com/products/kits/neosolar_kits_27314.jpg|[object Object]"
"112369","https://cdn.yellosolarhub.com/products/inversores/112369.jpg","https://cdn.yellosolarhub.com/products/inversores/112369.jpg|112369.jpg","imgs-index",100,11364,20,0,"https://cdn.yellosolarhub.com/products/inversores/112369.jpg|[object Object]"
"NEOSOLARINVERTERS21641","https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_21641.jpg","https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_21641.jpg|neosolar_inverters_21641.jpg","imgs-index",100,11359.99,20,0,"https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_21641.jpg|[object Object]"
"FOTUSKP041254KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg","imgs-index",100,11359.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg|[object Object]"
"GOODWEGW12KLVMTIMAGE","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 12KLV-MT_image.jpg","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 12KLV-MT_image.jpg|GOODWE-GW 12KLV-MT_image.jpg","imgs-index",100,11356.95,20,0,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 12KLV-MT_image.jpg|[object Object]"
"NEOSOLARCHARGERS25023","https://cdn.yellosolarhub.com/products/carregadores/NEOSOLAR_CHARGERS_25023.jpg","https://cdn.yellosolarhub.com/products/carregadores/NEOSOLAR_CHARGERS_25023.jpg|NEOSOLAR_CHARGERS_25023.jpg","imgs-index",100,11349.99,20,0,"https://cdn.yellosolarhub.com/products/carregadores/NEOSOLAR_CHARGERS_25023.jpg|[object Object]"
"NEOSOLARPOSTS23327","https://cdn.yellosolarhub.com/products/postes/NEOSOLAR_POSTS_23327.jpg","https://cdn.yellosolarhub.com/products/postes/NEOSOLAR_POSTS_23327.jpg|NEOSOLAR_POSTS_23327.jpg","imgs-index",100,11336,20,0,"https://cdn.yellosolarhub.com/products/postes/NEOSOLAR_POSTS_23327.jpg|[object Object]"
"SKU27695427695417460390182534484","https://cdn.yellosolarhub.com/products/inversores/sku_276954_276954-17460390182534484.jpeg","https://cdn.yellosolarhub.com/products/inversores/sku_276954_276954-17460390182534484.jpeg|sku_276954_276954-17460390182534484.jpeg","imgs-index",100,11317.99,20,0,"https://cdn.yellosolarhub.com/products/inversores/sku_276954_276954-17460390182534484.jpeg|[object Object]"
"FOTUSKP02426KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-426kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-426kWp-Ceramico-kits.jpg|FOTUS-KP02-426kWp-Ceramico-kits.jpg","imgs-index",100,11316.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-426kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP021704KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg","imgs-index",100,11312.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg|[object Object]"
"IIN00256","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00256.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00256.png|IIN00256.png","imgs-index",100,11301.99,20,0,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00256.png|[object Object]"
"FOTUSKP04240KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-240kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-240kWp-Ceramico-kits.jpg|FOTUS-KP04-240kWp-Ceramico-kits.jpg","imgs-index",100,11295,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-240kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP021065KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Ceramico-kits.jpg|FOTUS-KP02-1065kWp-Ceramico-kits.jpg","imgs-index",100,11293.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Ceramico-kits.jpg|[object Object]"
"IIN00311","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00311.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00311.png|IIN00311.png","imgs-index",100,11288.99,20,0,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00311.png|[object Object]"
"IIN00182","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00182.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00182.png|IIN00182.png","imgs-index",100,11287.49,20,0,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00182.png|[object Object]"
"ODEXODEXINVSOFAR6000W","https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SOFAR-6000W.jpg","https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SOFAR-6000W.jpg|ODEX-ODEX-INV-SOFAR-6000W.jpg","imgs-index",100,11277,20,0,"https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SOFAR-6000W.jpg|[object Object]"
"FOTUSKP04342KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-342kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-342kWp-MiniTrilho-kits.jpg|FOTUS-KP04-342kWp-MiniTrilho-kits.jpg","imgs-index",100,11273.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-342kWp-MiniTrilho-kits.jpg|[object Object]"
"NEOSOLARINVERTERS21634","https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_21634.jpg","https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_21634.jpg|neosolar_inverters_21634.jpg","imgs-index",100,11272.95,20,0,"https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_21634.jpg|[object Object]"
"NEOSOLARKITS24171","https://cdn.yellosolarhub.com/products/kits/NEOSOLAR_KITS_24171.jpg","https://cdn.yellosolarhub.com/products/kits/NEOSOLAR_KITS_24171.jpg|NEOSOLAR_KITS_24171.jpg","imgs-index",100,11271.95,20,0,"https://cdn.yellosolarhub.com/products/kits/NEOSOLAR_KITS_24171.jpg|[object Object]"
"IMAGEPRODUCT600109","https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600109.png","https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600109.png|IMAGE_PRODUCT_600109.png","imgs-index",100,11259,20,0,"https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600109.png|[object Object]"
"NEOSOLARKITS25163","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_25163.jpg","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_25163.jpg|neosolar_kits_25163.jpg","imgs-index",100,11218,20,0,"https://cdn.yellosolarhub.com/products/kits/neosolar_kits_25163.jpg|[object Object]"
"FOTUSKP03568KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-Ceramico-kits.jpg|FOTUS-KP03-568kWp-Ceramico-kits.jpg","imgs-index",100,11198,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-Ceramico-kits.jpg|[object Object]"
"SKU320786320786517496510879977488","https://cdn.yellosolarhub.com/products/estruturas/sku_320786_320786_5-17496510879977488.jpeg","https://cdn.yellosolarhub.com/products/estruturas/sku_320786_320786_5-17496510879977488.jpeg|sku_320786_320786_5-17496510879977488.jpeg","imgs-index",100,11183,20,0,"https://cdn.yellosolarhub.com/products/estruturas/sku_320786_320786_5-17496510879977488.jpeg|[object Object]"
