sku,primary_image,all_images,source,score
"FOTUSKP021065KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP041026KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Ceramico-kits.jpg|FOTUS-KP04-1026kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP041026KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP041026KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP04840KWPCERAMICOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg|FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04840KWPFIBROCIMENTOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg|FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04840KWPMINITRILHOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg|FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg","imgs-index",100
"FOTUSKP02994KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Ceramico-kits.jpg|FOTUS-KP02-994kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP02994KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Fibrocimento-kits.jpg|FOTUS-KP02-994kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP02994KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-MiniTrilho-kits.jpg|FOTUS-KP02-994kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP03994KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-Ceramico-kits.jpg|FOTUS-KP03-994kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP03994KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-Fibrocimento-kits.jpg|FOTUS-KP03-994kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP03994KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-MiniTrilho-kits.jpg|FOTUS-KP03-994kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP04969KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-Ceramico-kits.jpg|FOTUS-KP04-969kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP04969KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-Fibrocimento-kits.jpg|FOTUS-KP04-969kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP04969KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-MiniTrilho-kits.jpg|FOTUS-KP04-969kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP02960KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-Ceramico-kits.jpg|FOTUS-KP02-960kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP02960KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-Fibrocimento-kits.jpg|FOTUS-KP02-960kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP02960KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-MiniTrilho-kits.jpg|FOTUS-KP02-960kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP04960KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Ceramico-kits.jpg|FOTUS-KP04-960kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP04960KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Fibrocimento-kits.jpg|FOTUS-KP04-960kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP04960KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-MiniTrilho-kits.jpg|FOTUS-KP04-960kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP04912KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-Ceramico-kits.jpg|FOTUS-KP04-912kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP04912KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-Fibrocimento-kits.jpg|FOTUS-KP04-912kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP04912KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-MiniTrilho-kits.jpg|FOTUS-KP04-912kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP04720KWPCERAMICOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-Ceramico-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-Ceramico-kits-hibridos.jpg|FOTUS-KP04-720kWp-Ceramico-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04720KWPFIBROCIMENTOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-Fibrocimento-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-Fibrocimento-kits-hibridos.jpg|FOTUS-KP04-720kWp-Fibrocimento-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04720KWPMINITRILHOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-MiniTrilho-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-MiniTrilho-kits-hibridos.jpg|FOTUS-KP04-720kWp-MiniTrilho-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04855KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-Ceramico-kits.jpg|FOTUS-KP04-855kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP04855KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-Fibrocimento-kits.jpg|FOTUS-KP04-855kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP04855KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-MiniTrilho-kits.jpg|FOTUS-KP04-855kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP02852KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-Ceramico-kits.jpg|FOTUS-KP02-852kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP02852KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-Fibrocimento-kits.jpg|FOTUS-KP02-852kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP02852KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-MiniTrilho-kits.jpg|FOTUS-KP02-852kWp-MiniTrilho-kits.jpg","imgs-index",100
